47,Нижний Новгород
4,Белгород
65,Новосибирск
77,Благовещенск
66,Омск
191,Брянск
10,Орел
24,Великий Новгород
48,Оренбург
75,Владивосток
49,Пенза
33,Владикавказ
50,Пермь
192,Владимир
25,Псков
38,Волгоград
39,Ростов-на-Дону
21,Вологда
11,Рязань
193,Воронеж
51,Самара
1106,Грозный
2,Санкт-Петербург
54,Екатеринбург
42,Саранск
5,Иваново
12,Смоленск
63,Иркутск
239,Сочи
41,Йошкар-Ола
36,Ставрополь
43,Казань
973,Сургут
22,Калининград
13,Тамбов
64,Кемерово
14,Тверь
7,Кострома
67,Томск
35,Краснодар
15,Тула
62,Красноярск
195,Ульяновск
53,Курган
172,Уфа
8,Курск
76,Хабаровск
9,Липецк
45,Чебоксары
28,Махачкала
56,Челябинск
1,Москва и Московская область
1104,Черкесск
213,Москва
16,Ярославль
23,Мурманск
